subject,domain,expected_chapter_or_skill,current_match,gap_type,severity,evidence,recommended_action
MATHEMATICS,Mathématiques — programme 3e,Nombres et calculs,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Arithmétique,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Géométrie plane,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Triangles,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Théorème de Pythagore,Pythagore,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
MATHEMATICS,Mathématiques — programme 3e,Théorème de Thalès,Thalès,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
MATHEMATICS,Mathématiques — programme 3e,Trigonométrie,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Transformations,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Homothétie,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Géométrie dans l’espace,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Repérage,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Programmation,,MISSING_CHAPTER,P2,Élément de contrôle transversal — peut être format plutôt que chapitre,REVIEW_AS_FORMAT_OR_CHAPTER
MATHEMATICS,Mathématiques — programme 3e,Scratch / blocs,,MISSING_CHAPTER,P2,Élément de contrôle transversal — peut être format plutôt que chapitre,REVIEW_AS_FORMAT_OR_CHAPTER
MATHEMATICS,Mathématiques — programme 3e,Tableur,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Grandeurs et mesures,,MISSING_CHAPTER,P0,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
MATHEMATICS,Mathématiques — programme 3e,Problèmes,,MISSING_CHAPTER,P2,Élément de contrôle transversal — peut être format plutôt que chapitre,REVIEW_AS_FORMAT_OR_CHAPTER
MATHEMATICS,Mathématiques — programme 3e,Raisonnement et démonstration,,MISSING_CHAPTER,P2,Élément de contrôle transversal — peut être format plutôt que chapitre,REVIEW_AS_FORMAT_OR_CHAPTER
MATHEMATICS,Mathématiques — programme 3e,Automatismes,,MISSING_CHAPTER,P2,Élément de contrôle transversal — peut être format plutôt que chapitre,REVIEW_AS_FORMAT_OR_CHAPTER
FRENCH,Français — programme 3e,Interprétation,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
FRENCH,Français — programme 3e,Grammaire,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
FRENCH,Français — programme 3e,Conjugaison,Conjugaison,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
FRENCH,Français — programme 3e,Réécriture,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
FRENCH,Français — programme 3e,Dictée,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
FRENCH,Français — programme 3e,Rédaction,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
HISTORY,Histoire — programme 3e,République,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
HISTORY,Histoire — programme 3e,Colonisation,Colonisation,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
HISTORY,Histoire — programme 3e,Décolonisation,Colonisation,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
GEOGRAPHY,Géographie — programme 3e,Territoires,France et territoires,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
GEOGRAPHY,Géographie — programme 3e,Aménagement,,MISSING_CHAPTER,P1,Aucun chapitre sémantiquement équivalent trouvé,ADD_CHAPTER_IN_LCAI_0039
GEOGRAPHY,Géographie — programme 3e,Développement durable,Développement durable,NO_OFFICIAL_ARCHIVE_COVERAGE,P2,official_question_count=0,MAP_OR_INGEST_OFFICIAL
