grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,recommended_action,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate,hard_gates_summary,reasons_summary
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106260,106262,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT-PRACTICE-20260726104912-1,1,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106268,106270,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT-PRACTICE-20260726104915-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106296,106298,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT-PRACTICE-20260726104926-1,3,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,CH-FRENCH-4E-COMPREHENSION,assessment,REVIEW,Revue humaine pédagogique requise,draft,106264,106266,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INFER-ASSESSMENT-20260726104913-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106276,106278,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INFER-PRACTICE-20260726104916-1,1,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106284,106286,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INFER-PRACTICE-20260726104919-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106292,106294,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INFER-PRACTICE-20260726104920-1,3,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,CH-FRENCH-4E-COMPREHENSION,assessment,REVIEW,Revue humaine pédagogique requise,draft,106288,106290,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INTERPRET-ASSESSMENT-20260726104919-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106280,106282,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INTERPRET-PRACTICE-20260726104916-1,1,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106304,106306,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INTERPRET-PRACTICE-20260726104929-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106316,106318,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-INTERPRET-PRACTICE-20260726104933-1,3,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,CH-FRENCH-4E-COMPREHENSION,assessment,REVIEW,Revue humaine pédagogique requise,draft,106300,106302,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-METHOD-ASSESSMENT-20260726104929-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106308,106310,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-METHOD-PRACTICE-20260726104930-1,2,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
FR-4E,FRENCH,Français,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,CH-FRENCH-4E-COMPREHENSION,practice,REVIEW,Revue humaine pédagogique requise,draft,106312,106314,DRAFT-0012C-AI-ENR-FRENCH-4E-COMPREHENSION-METHOD-PRACTICE-20260726104931-1,1,True,False,structural_validity=True | answer_correctness=True | skill_alignment=True | grade_appropriateness=False | executability=True | duplicate_safety=True,Independent pedagogical review is still required.
