subject,domain,chapter,skill,coverage_status,exercise_count,reason,severity,blocking,recommended_action
FRENCH,Lecture et compréhension,Compréhension de textes,Repérer des informations explicites,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Lecture et compréhension,Compréhension de textes,Inférer des informations implicites,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Lecture et compréhension,Compréhension de textes,Comprendre le sens global,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Lecture et compréhension,Interprétation et analyse,Point de vue et intentions,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Classes grammaticales,PARTIAL,60,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Fonctions dans la phrase,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Grammaire et syntaxe,Phrase simple et complexe,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Conjugaison,Accords du verbe,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Orthographe lexicale,PARTIAL,100,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accords dans le groupe nominal,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,"Langue (grammaire, conjugaison, orthographe, vocabulaire)",Orthographe et accords,Accord sujet-verbe,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Écriture,Expression écrite,Organiser un écrit,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Écriture,Expression écrite,Qualité de l'expression,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Écriture,Expression écrite,Genres d'écrits,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Écriture,Argumentation,Construire une thèse,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Écriture,Argumentation,Structurer un paragraphe argumentatif,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Formats d'épreuve DNB,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
FRENCH,Formats d'épreuve DNB,Rédaction DNB,Produire un texte abouti,PARTIAL,30,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Opérations sur les relatifs,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Nombres relatifs et rationnels,Représenter les rationnels,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Fractions,Simplifier et rendre irréductible,PARTIAL,40,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Propriétés des puissances,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Puissances de 10,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Puissances et notation scientifique,Notation scientifique,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Arithmétique,Divisibilité,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Arithmétique,PGCD et applications,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Arithmétique,Nombres premiers,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Développer,PARTIAL,42,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Réduire,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,"Développement, réduction et factorisation",Factoriser,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Problèmes numériques,Choisir une stratégie,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Nombres et calculs,Problèmes numériques,Mener un calcul justifié,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Proportionnalité,Reconnaître une situation de proportionnalité,PARTIAL,40,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Notion de fonction,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Image et antécédent,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions — image et antécédent,Représentation graphique,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Fonctions affines,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,"Organisation et gestion de données, fonctions",Fonctions linéaires et affines,Déterminer une fonction affine,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Grandeurs et mesures,Conversions d'unités,Autres grandeurs,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Facteur d'échelle,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Grandeurs et mesures,Agrandissement et réduction,Problèmes d'échelle,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans le plan,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Repérage,Repérage dans l'espace,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Réciproque de Pythagore,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Théorème de Pythagore et réciproque,Raisonnement géométrique,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Théorème de Thalès et réciproque,Réciproque de Thalès,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Cosinus,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Sinus,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Tangente,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Transformations du plan,Isométries,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Transformations du plan,Propriétés conservées,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Homothétie,Définition et rapport,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Homothétie,Construire et calculer,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
MATHEMATICS,Espace et géométrie,Géométrie plane,Triangles,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
