grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,EMC,EMC,SK-EMC-4E-INFORMATION,CH-EMC-4E-INFORMATION,assessment,PASS,draft,108440,108442,DRAFT-0012C-AI-EMC-4E-INFORMATION-ASSESSMENT-20260726110914-1,2,True,True
FR-4E,EMC,EMC,SK-EMC-4E-LIBERTIES,CH-EMC-4E-LIBERTIES,practice,PASS,draft,108560,108562,DRAFT-0012C-AI-EMC-4E-LIBERTIES-PRACTICE-20260726110959-1,2,True,True
FR-4E,EMC,EMC,SK-EMC-4E-INFORMATION,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108472,108474,DRAFT-0012C-AI-EMC-4E-INFORMATION-PRACTICE-20260726110919-1,2,True,False
FR-4E,EMC,EMC,SK-EMC-4E-LIBERTIES,CH-EMC-4E-LIBERTIES,assessment,REVIEW,draft,108488,108490,DRAFT-0012C-AI-EMC-4E-LIBERTIES-ASSESSMENT-20260726110931-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,CH-EMC-4E-INFORMATION,assessment,REVIEW,draft,108476,108478,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-ARGUMENT-ASSESSMENT-20260726110921-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108468,108470,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-ARGUMENT-PRACTICE-20260726110918-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,CH-EMC-4E-INFORMATION,assessment,REVIEW,draft,108444,108446,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-FACT-OPINION-ASSESSMENT-20260726110915-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108452,108454,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-FACT-OPINION-PRACTICE-20260726110916-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-IMAGE,CH-EMC-4E-INFORMATION,assessment,REVIEW,draft,108484,108486,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-IMAGE-ASSESSMENT-20260726110925-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-IMAGE,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108460,108462,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-IMAGE-PRACTICE-20260726110917-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-PUBLISH,CH-EMC-4E-INFORMATION,assessment,REVIEW,draft,108456,108458,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-PUBLISH-ASSESSMENT-20260726110916-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-PUBLISH,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108480,108482,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-PUBLISH-PRACTICE-20260726110922-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-SOURCE,CH-EMC-4E-INFORMATION,assessment,REVIEW,draft,108448,108450,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-SOURCE-ASSESSMENT-20260726110915-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-INFORMATION-SOURCE,CH-EMC-4E-INFORMATION,practice,REVIEW,draft,108464,108466,DRAFT-0012C-AI-ENR-EMC-4E-INFORMATION-SOURCE-PRACTICE-20260726110917-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-ARGUE,CH-EMC-4E-LIBERTIES,assessment,REVIEW,draft,108508,108510,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-ARGUE-ASSESSMENT-20260726110935-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-ARGUE,CH-EMC-4E-LIBERTIES,practice,REVIEW,draft,108496,108498,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-ARGUE-PRACTICE-20260726110934-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-BALANCE,CH-EMC-4E-LIBERTIES,assessment,REVIEW,draft,108512,108514,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-BALANCE-ASSESSMENT-20260726110936-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-BALANCE,CH-EMC-4E-LIBERTIES,practice,REVIEW,draft,108504,108506,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-BALANCE-PRACTICE-20260726110935-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-LAW,CH-EMC-4E-LIBERTIES,assessment,REVIEW,draft,108492,108494,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-LAW-ASSESSMENT-20260726110930-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-LAW,CH-EMC-4E-LIBERTIES,practice,REVIEW,draft,108520,108522,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-LAW-PRACTICE-20260726110939-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,CH-EMC-4E-LIBERTIES,assessment,REVIEW,draft,108500,108502,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-LIBERTY-ASSESSMENT-20260726110934-1,2,True,False
FR-4E,EMC,EMC,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,CH-EMC-4E-LIBERTIES,practice,REVIEW,draft,108516,108518,DRAFT-0012C-AI-ENR-EMC-4E-LIBERTIES-LIBERTY-PRACTICE-20260726110939-1,2,True,False
