grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,ENGLISH,Anglais,SK-ENGLISH-4E-COMMUNICATION,CH-ENGLISH-4E-COMMUNICATION,assessment,PASS,draft,108532,108534,DRAFT-0012C-AI-ENGLISH-4E-COMMUNICATION-ASSESSMENT-20260726110948-1,2,True,True
FR-4E,ENGLISH,Anglais,SK-ENGLISH-4E-COMMUNICATION,CH-ENGLISH-4E-COMMUNICATION,practice,PASS,draft,108540,108542,DRAFT-0012C-AI-ENGLISH-4E-COMMUNICATION-PRACTICE-20260726110952-1,2,True,True
FR-4E,ENGLISH,Anglais,SK-ENGLISH-4E-LANGUAGE,CH-ENGLISH-4E-LANGUAGE,assessment,REVIEW,draft,108588,108590,DRAFT-0012C-AI-ENGLISH-4E-LANGUAGE-ASSESSMENT-20260726111012-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENGLISH-4E-LANGUAGE,CH-ENGLISH-4E-LANGUAGE,practice,REVIEW,draft,108592,108594,DRAFT-0012C-AI-ENGLISH-4E-LANGUAGE-PRACTICE-20260726111013-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,CH-ENGLISH-4E-COMMUNICATION,assessment,REVIEW,draft,108536,108538,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-ARGUE-ASSESSMENT-20260726110949-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,CH-ENGLISH-4E-COMMUNICATION,practice,REVIEW,draft,108556,108558,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-ARGUE-PRACTICE-20260726110956-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,CH-ENGLISH-4E-COMMUNICATION,assessment,REVIEW,draft,108552,108554,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-INTERACT-ASSESSMENT-20260726110955-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,CH-ENGLISH-4E-COMMUNICATION,practice,REVIEW,draft,108544,108546,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-INTERACT-PRACTICE-20260726110953-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,CH-ENGLISH-4E-COMMUNICATION,assessment,REVIEW,draft,108548,108550,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-LISTEN-ASSESSMENT-20260726110954-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,CH-ENGLISH-4E-COMMUNICATION,practice,REVIEW,draft,108572,108574,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-LISTEN-PRACTICE-20260726111003-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,CH-ENGLISH-4E-COMMUNICATION,assessment,REVIEW,draft,108564,108566,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-READ-ASSESSMENT-20260726111002-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,CH-ENGLISH-4E-COMMUNICATION,practice,REVIEW,draft,108568,108570,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-READ-PRACTICE-20260726111002-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,CH-ENGLISH-4E-COMMUNICATION,assessment,REVIEW,draft,108576,108578,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-WRITE-ASSESSMENT-20260726111003-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,CH-ENGLISH-4E-COMMUNICATION,practice,REVIEW,draft,108584,108586,DRAFT-0012C-AI-ENR-ENGLISH-4E-COMMUNICATION-WRITE-PRACTICE-20260726111006-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,CH-ENGLISH-4E-LANGUAGE,assessment,REVIEW,draft,108604,108606,DRAFT-0012C-AI-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR-ASSESSMENT-20260726111016-1,2,True,False
FR-4E,ENGLISH,Anglais,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,CH-ENGLISH-4E-LANGUAGE,practice,REVIEW,draft,108580,108582,DRAFT-0012C-AI-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR-PRACTICE-20260726111006-1,2,True,False
