grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-ATOM,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,PASS,draft,108896,108898,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-ATOM-ASSESSMENT-20260726111236-1,2,True,True
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-ACID_BASE,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,REJECT,draft,108912,108914,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-ACID-BASE-ASSESSMENT-20260726111240-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-ACID_BASE,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REJECT,draft,108916,108918,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-ACID-BASE-PRACTICE-20260726111241-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-ATOM,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REVIEW,draft,108908,108910,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-ATOM-PRACTICE-20260726111238-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-CONSERVATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,REVIEW,draft,108924,108926,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-CONSERVATION-ASSESSMENT-20260726111248-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-CONSERVATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REVIEW,draft,108932,108934,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-CONSERVATION-PRACTICE-20260726111250-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-CONSERVATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,challenge,REVIEW,draft,104748,104750,PILOT-0012B-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-CONSERVATION-CHALLENGE-20260725214003-3,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-CONSERVATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,challenge,REVIEW,draft,104752,104754,PILOT-0012B-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-CONSERVATION-CHALLENGE-20260725214100-2,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-CONSERVATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,challenge,REVIEW,draft,104756,104758,PILOT-0012B-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-CONSERVATION-CHALLENGE-20260725214100-3,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-EQUATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,REVIEW,draft,108928,108930,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-EQUATION-ASSESSMENT-20260726111250-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-EQUATION,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REVIEW,draft,108944,108946,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-EQUATION-PRACTICE-20260726111254-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-EXPERIMENT,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,REVIEW,draft,108952,108954,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-EXPERIMENT-ASSESSMENT-20260726111258-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-CHEMISTRY-EXPERIMENT,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REVIEW,draft,108936,108938,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-CHEMISTRY-EXPERIMENT-PRACTICE-20260726111253-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-CIRCUIT,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108956,108958,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-CIRCUIT-ASSESSMENT-20260726111301-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-CIRCUIT,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,108948,108950,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-CIRCUIT-PRACTICE-20260726111257-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-CURRENT,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108964,108966,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-CURRENT-ASSESSMENT-20260726111302-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-CURRENT,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,108972,108974,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-CURRENT-PRACTICE-20260726111303-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-ENERGY,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108968,108970,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-ENERGY-ASSESSMENT-20260726111303-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-ENERGY,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,108976,108978,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-ENERGY-PRACTICE-20260726111304-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-LAW,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108988,108990,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-LAW-ASSESSMENT-20260726111310-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-LAW,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,108980,108982,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-LAW-PRACTICE-20260726111308-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-SIGNAL,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108996,108998,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-SIGNAL-ASSESSMENT-20260726111314-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-SIGNAL,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,108984,108986,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-SIGNAL-PRACTICE-20260726111310-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-VOLTAGE,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,108992,108994,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-VOLTAGE-ASSESSMENT-20260726111312-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-ENR-PHYSICS_CHEMISTRY-4E-ELECTRICITY-VOLTAGE,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,109004,109006,DRAFT-0012C-AI-ENR-PHYSICS-CHEMISTRY-4E-ELECTRICITY-VOLTAGE-PRACTICE-20260726111317-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-PHYSICS_CHEMISTRY-4E-CHEMISTRY,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,assessment,REVIEW,draft,108940,108942,DRAFT-0012C-AI-PHYSICS-CHEMISTRY-4E-CHEMISTRY-ASSESSMENT-20260726111254-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-PHYSICS_CHEMISTRY-4E-CHEMISTRY,CH-PHYSICS_CHEMISTRY-4E-CHEMISTRY,practice,REVIEW,draft,108960,108962,DRAFT-0012C-AI-PHYSICS-CHEMISTRY-4E-CHEMISTRY-PRACTICE-20260726111302-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-PHYSICS_CHEMISTRY-4E-ELECTRICITY,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,assessment,REVIEW,draft,109000,109002,DRAFT-0012C-AI-PHYSICS-CHEMISTRY-4E-ELECTRICITY-ASSESSMENT-20260726111316-1,2,True,False
FR-4E,PHYSICS_CHEMISTRY,Physique-Chimie,SK-PHYSICS_CHEMISTRY-4E-ELECTRICITY,CH-PHYSICS_CHEMISTRY-4E-ELECTRICITY,practice,REVIEW,draft,109024,109026,DRAFT-0012C-AI-PHYSICS-CHEMISTRY-4E-ELECTRICITY-PRACTICE-20260726111324-1,2,True,False
