subject,chapter,skill,subskill,trainability,direct_count,embedded_count,coverage_status
EMC,Citoyenneté,Exercice de la citoyenneté,Participation,AUTONOMOUS,8,8,COMPLETE
EMC,Citoyenneté,Exercice de la citoyenneté,Vote,AUTONOMOUS,8,8,COMPLETE
EMC,Citoyenneté,Statut de citoyen,Devoirs,AUTONOMOUS,8,8,COMPLETE
EMC,Citoyenneté,Statut de citoyen,Droits,AUTONOMOUS,8,8,COMPLETE
EMC,Citoyenneté,Statut de citoyen,Nationalité,AUTONOMOUS,8,8,COMPLETE
EMC,Droits et libertés,Droits fondamentaux,Droits sociaux,AUTONOMOUS,8,8,COMPLETE
EMC,Droits et libertés,Droits fondamentaux,Déclarations des droits,AUTONOMOUS,8,8,COMPLETE
EMC,Droits et libertés,Droits fondamentaux,Libertés individuelles,AUTONOMOUS,8,8,COMPLETE
EMC,Droits et libertés,Garanties et limites,Abus et sanctions,AUTONOMOUS,8,8,COMPLETE
EMC,Droits et libertés,Garanties et limites,Garanties juridictionnelles,AUTONOMOUS,8,8,COMPLETE
EMC,Défense et sécurité nationale,Citoyen et défense,Devoir de défense,AUTONOMOUS,8,8,COMPLETE
EMC,Défense et sécurité nationale,Citoyen et défense,Parcours / JDC,AUTONOMOUS,8,8,COMPLETE
EMC,Défense et sécurité nationale,Enjeux de défense,Alliances,AUTONOMOUS,8,8,COMPLETE
EMC,Défense et sécurité nationale,Enjeux de défense,Armées,AUTONOMOUS,8,8,COMPLETE
EMC,Défense et sécurité nationale,Enjeux de défense,Sécurité collective,AUTONOMOUS,8,8,COMPLETE
EMC,Démocratie et débat,Débattre et argumenter,Argumentation civique,AUTONOMOUS,8,8,COMPLETE
EMC,Démocratie et débat,Débattre et argumenter,Écoute,AUTONOMOUS,8,8,COMPLETE
EMC,Démocratie et débat,Principes démocratiques,Majorité / minorités,AUTONOMOUS,8,8,COMPLETE
EMC,Démocratie et débat,Principes démocratiques,Pluralisme,AUTONOMOUS,8,8,COMPLETE
EMC,Démocratie et débat,Principes démocratiques,État de droit,AUTONOMOUS,8,8,COMPLETE
