question_id,subject,year,skill,issue_type,priority,mapping_confidence,compatibility_confidence,reliability_score,warnings
2612,HISTORY_GEOGRAPHY_EMC,2025,COMPREHENSION_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2613,HISTORY_GEOGRAPHY_EMC,2025,COMPREHENSION_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2614,HISTORY_GEOGRAPHY_EMC,2025,COMPREHENSION_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2615,HISTORY_GEOGRAPHY_EMC,2025,COMPREHENSION_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2832,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2835,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2836,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,116.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2785,HISTORY_GEOGRAPHY_EMC,2026,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2822,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2823,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2829,HISTORY_GEOGRAPHY_EMC,2023,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2923,HISTORY_GEOGRAPHY_EMC,2025,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2931,HISTORY_GEOGRAPHY_EMC,2018,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,115.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
3002,SCIENCES,2020,SON_SKILL,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED,109.1,0.55,0.75,0.573,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED
2807,SCIENCES,2022,ENERGIE_SKILL,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED,107.9,0.55,0.75,0.603,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED
3000,SCIENCES,2020,ELECTRICITE_SKILL,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED,107.9,0.55,0.75,0.603,ASSET_MISSING|POSSIBLE_MERGED_QUESTIONS|SHARED_CONTEXT_OR_ASSET_REFERENCED
