subject,skill,format,gap_type,severity,official_available,validated_available,recommended_action
EMC,CITOYENNETE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
EMC,JUSTICE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
EMC,LAICITE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
EMC,LIBERTES_ET_DROITS_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
EMC,MEDIAS_ET_ESPRIT_CRITIQUE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
EMC,VALEURS_DE_LA_REPUBLIQUE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,ACCORDS_SKILL,"DICTATION,DOCUMENT_ANALYSIS",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,53,0,REVIEW_EXISTING
FRENCH,CLASSES_GRAMMATICALES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,COMPREHENSION_SKILL,"COMPREHENSION,EMC_DOCUMENT_ANALYSIS,GRAMMAR,REWRITING,WRITING_PROMPT",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,130,0,REVIEW_EXISTING
FRENCH,CONJUGAISON_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,EXPRESSION_ECRITE_SKILL,"COMPREHENSION,DICTATION,WRITING_PROMPT",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,150,0,REVIEW_EXISTING
FRENCH,FIGURES_DE_STYLE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,FONCTIONS_GRAMMATICALES_SKILL,"COMPREHENSION,DIAGRAM,EMC_DOCUMENT_ANALYSIS,WRITING_PROMPT",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,37,0,REVIEW_EXISTING
FRENCH,HOMOPHONES_GRAMMATICAUX_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,ORTHOGRAPHE_SKILL,WRITING_PROMPT,OFFICIAL_BUT_UNCERTIFIED,HIGH,1,0,REVIEW_EXISTING
FRENCH,PHRASES_COMPLEXES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
FRENCH,VOCABULAIRE_SKILL,"CHRONOLOGY,COMPREHENSION,DEVELOPPEMENT_CONSTRUIT,DOCUMENT_ANALYSIS,EMC_DOCUMENT_ANALYSIS,LANGUAGE,MAP,WRITING_PROMPT",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,59,0,REVIEW_EXISTING
TECHNOLOGY,DEVELOPPEMENT_DURABLE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,ESPACES_PRODUCTIFS_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,FRANCE_ET_TERRITOIRES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,INEGALITES_MONDIALES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,MOBILITES_HUMAINES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,MONDIALISATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,RISQUES_NATURELS_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,UNION_EUROPEENNE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
GEOGRAPHY,URBANISATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
HISTORY,COLONISATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
HISTORY,CONSTRUCTION_EUROPEENNE_SKILL,EMC_DOCUMENT_ANALYSIS,OFFICIAL_BUT_UNCERTIFIED,MEDIUM,13,0,REVIEW_EXISTING
HISTORY,EMPIRE_NAPOLEONIEN_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
