grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,CH-SPANISH-4E-COMMUNICATION,assessment,PASS,draft,109020,109022,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-INTERACT-ASSESSMENT-20260726111325-1,2,True,True
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109016,109018,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-INTERACT-PRACTICE-20260726111322-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,CH-SPANISH-4E-COMMUNICATION,assessment,REVIEW,draft,109008,109010,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-LISTEN-ASSESSMENT-20260726111320-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109012,109014,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-LISTEN-PRACTICE-20260726111322-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-READ,CH-SPANISH-4E-COMMUNICATION,assessment,REVIEW,draft,109032,109034,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-READ-ASSESSMENT-20260726111328-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-READ,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109028,109030,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-READ-PRACTICE-20260726111325-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,CH-SPANISH-4E-COMMUNICATION,assessment,REVIEW,draft,109048,109050,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-SPEAK-ASSESSMENT-20260726111337-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109056,109058,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-SPEAK-PRACTICE-20260726111340-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,CH-SPANISH-4E-COMMUNICATION,assessment,REVIEW,draft,109040,109042,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-WRITE-ASSESSMENT-20260726111332-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109044,109046,DRAFT-0012C-AI-ENR-SPANISH-4E-COMMUNICATION-WRITE-PRACTICE-20260726111334-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109068,109070,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-CULTURE-ASSESSMENT-20260726111348-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,CH-SPANISH-4E-LANGUAGE,practice,REVIEW,draft,109052,109054,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-CULTURE-PRACTICE-20260726111338-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109060,109062,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-GRAMMAR-ASSESSMENT-20260726111344-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,CH-SPANISH-4E-LANGUAGE,practice,REVIEW,draft,109072,109074,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-GRAMMAR-PRACTICE-20260726111349-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109080,109082,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY-ASSESSMENT-20260726111352-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,CH-SPANISH-4E-LANGUAGE,practice,REVIEW,draft,109076,109078,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY-PRACTICE-20260726111350-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109084,109086,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-TENSE-ASSESSMENT-20260726111355-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,CH-SPANISH-4E-LANGUAGE,practice,REVIEW,draft,109132,109134,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-TENSE-PRACTICE-20260726111417-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109088,109090,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-VOCAB-ASSESSMENT-20260726111355-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,CH-SPANISH-4E-LANGUAGE,practice,REVIEW,draft,109092,109094,DRAFT-0012C-AI-ENR-SPANISH-4E-LANGUAGE-VOCAB-PRACTICE-20260726111357-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-SPANISH-4E-COMMUNICATION,CH-SPANISH-4E-COMMUNICATION,assessment,REVIEW,draft,109036,109038,DRAFT-0012C-AI-SPANISH-4E-COMMUNICATION-ASSESSMENT-20260726111332-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-SPANISH-4E-COMMUNICATION,CH-SPANISH-4E-COMMUNICATION,practice,REVIEW,draft,109064,109066,DRAFT-0012C-AI-SPANISH-4E-COMMUNICATION-PRACTICE-20260726111346-1,2,True,False
FR-4E,SPANISH,Espagnol,SK-SPANISH-4E-LANGUAGE,CH-SPANISH-4E-LANGUAGE,assessment,REVIEW,draft,109100,109102,DRAFT-0012C-AI-SPANISH-4E-LANGUAGE-ASSESSMENT-20260726111407-1,2,True,False
