subject,chapter,skill_code,skill_name,brevet_importance,official_total,validated,compatible_2027,validated_compatible,playable_validated_compatible,years_present,formats_present,reliability_A,reliability_B,review,coverage_status
EMC,Citoyenneté,CITOYENNETE_SKILL,Citoyenneté,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
EMC,Justice,JUSTICE_SKILL,Justice,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
EMC,Laïcité,LAICITE_SKILL,Laïcité,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
EMC,Libertés et droits,LIBERTES_ET_DROITS_SKILL,Libertés et droits,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
EMC,Médias et esprit critique,MEDIAS_ET_ESPRIT_CRITIQUE_SKILL,Médias et esprit critique,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
EMC,Valeurs de la République,VALEURS_DE_LA_REPUBLIQUE_SKILL,Valeurs de la République,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Accords,ACCORDS_SKILL,Accords,CRITICAL,53,0,0,0,0,6,2,0,0,53,OFFICIAL_BUT_UNCERTIFIED
FRENCH,Classes grammaticales,CLASSES_GRAMMATICALES_SKILL,Classes grammaticales,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Compréhension,COMPREHENSION_SKILL,Compréhension,CRITICAL,130,0,0,0,0,4,5,0,0,130,OFFICIAL_BUT_UNCERTIFIED
FRENCH,Conjugaison,CONJUGAISON_SKILL,Conjugaison,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Expression écrite,EXPRESSION_ECRITE_SKILL,Expression écrite,CRITICAL,150,0,0,0,0,5,3,0,0,150,OFFICIAL_BUT_UNCERTIFIED
FRENCH,Figures de style,FIGURES_DE_STYLE_SKILL,Figures de style,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Fonctions grammaticales,FONCTIONS_GRAMMATICALES_SKILL,Fonctions grammaticales,MEDIUM,37,0,0,0,0,4,4,0,0,37,OFFICIAL_BUT_UNCERTIFIED
