grade_code,subject_code,subject_label,chapter_code,chapter_title,chapter_status,skill_code,skill_title,content_type,content_family,difficulty,approved_production_count,draft_count,eligible_for_homework
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exam_practice,assessment,2,1,0,True
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENGLISH-4E-COMMUNICATION,Communiquer et argumenter dans des situations variées,exercise,practice,2,1,0,True
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-ARGUE,Exprimer et justifier une opinion,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-INTERACT,Soutenir une interaction,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-LISTEN,Comprendre un document oral varié,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-READ,Interpréter un document écrit,practice,practice,2,0,1,False
